cajero,fecha,num averias,target
T19275D1,"18/10/2016 08:47:14,000000000",1,1
T16436B1,"18/10/2016 09:16:01,000000000",4,1
T10891B1,"18/10/2016 10:34:43,000000000",1,1
T10451E1,"18/10/2016 11:18:32,000000000",2,1
T12944D1,"18/10/2016 14:13:03,000000000",1,1
T10130C1,"19/10/2016 08:24:07,000000000",1,1
T18808B1,"19/10/2016 11:47:36,000000000",5,1
T14212E1,"20/10/2016 08:47:53,000000000",3,1
T11519C1,"20/10/2016 18:13:39,000000000",2,1
T10256E1,"20/10/2016 19:04:29,000000000",3,1
T17205C1,"21/10/2016 10:30:05,000000000",4,1
T10083B1,"24/10/2016 08:54:13,000000000",1,1
T19275D1,"24/10/2016 09:10:04,000000000",2,1
T10501B1,"24/10/2016 14:47:31,000000000",1,1
T12799B1,"24/10/2016 14:58:21,000000000",1,1
T12897B1,"25/10/2016 08:58:02,000000000",2,1
T10731B1,"25/10/2016 14:32:20,000000000",8,1
T18180C1,"25/10/2016 14:32:49,000000000",5,1
T19661D1,"25/10/2016 19:29:32,000000000",0,1
T18808B1,"26/10/2016 09:54:08,000000000",6,1
T10861B1,"26/10/2016 10:35:52,000000000",2,1
T16711C1,"26/10/2016 12:57:50,000000000",1,1
T17080B1,"26/10/2016 13:27:58,000000000",1,1
T14212E1,"26/10/2016 15:02:13,000000000",3,1
T10814C1,"27/10/2016 11:28:00,000000000",4,1
T16982C1,"27/10/2016 13:02:46,000000000",2,1
T19661D1,"27/10/2016 13:08:33,000000000",0,1
T10166C1,"27/10/2016 13:36:24,000000000",2,1
T12120B1,"27/10/2016 16:56:12,000000000",2,1
T10256E1,"27/10/2016 17:41:47,000000000",4,1
T11707E1,"28/10/2016 10:20:59,000000000",2,1
T10409C1,"28/10/2016 13:58:01,000000000",3,1
T16157B1,"31/10/2016 09:17:58,000000000",2,1
T10861B1,"31/10/2016 09:32:33,000000000",2,1
T12944B1,"31/10/2016 09:55:07,000000000",3,1
T16982C1,"31/10/2016 09:59:09,000000000",3,1
T10731B1,"31/10/2016 10:26:46,000000000",9,1
T16964B1,"01/11/2016 05:26:19,000000000",2,1
T10130C1,"02/11/2016 08:30:46,000000000",2,1
T15873D1,"02/11/2016 09:05:38,000000000",1,1
T14770D1,"02/11/2016 10:01:36,000000000",1,1
T12799B1,"02/11/2016 10:16:01,000000000",2,1
T10814C1,"02/11/2016 11:25:18,000000000",4,1
T19661D1,"02/11/2016 13:55:23,000000000",3,1
T19275D1,"02/11/2016 16:06:14,000000000",3,1
T10812E1,"02/11/2016 16:22:48,000000000",3,1
T12392C1,"03/11/2016 08:54:28,000000000",1,1
T13961B1,"03/11/2016 11:08:07,000000000",0,1
T10151C1,"03/11/2016 12:16:10,000000000",2,1
T11554D1,"03/11/2016 12:59:34,000000000",2,1
T15791B1,"03/11/2016 13:32:26,000000000",1,1
T18181C1,"03/11/2016 13:44:48,000000000",2,1
T18327D1,"03/11/2016 14:23:58,000000000",1,1
